job,major,subject_category,subject_details
가상현실전문가,컴퓨터공학과,공통과목,"수학, 과학, 기술ㆍ가정"
가상현실전문가,컴퓨터공학과,일반선택과목,"수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계, 과학교과 : 물리학Ⅰ, 화학Ⅰ, 기술ㆍ가정교과 : 기술ㆍ가정, 정보"
가상현실전문가,컴퓨터공학과,진로선택과목,"실용수학, 기하, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 생활과 과학, 공학 일반"
가상현실전문가,컴퓨터공학과,전문교과Ⅰ,"심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보과학, 융합과학탐구, 과학과제 연구"
가상현실전문가,컴퓨터공학과,전문교과Ⅱ,"디지털 논리 회로, 프로그래밍, 자료구조, 사물 인터넷 서비스 기획, 로봇 지능 개발"
게임기획자,컴퓨터공학과,공통과목,"수학, 과학, 기술ㆍ가정"
게임기획자,컴퓨터공학과,일반선택과목,"수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계, 과학교과 : 물리학Ⅰ, 화학Ⅰ, 기술ㆍ가정교과 : 기술ㆍ가정, 정보"
게임기획자,컴퓨터공학과,진로선택과목,"실용수학, 기하, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 생활과 과학, 공학 일반"
게임기획자,컴퓨터공학과,전문교과Ⅰ,"심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보과학, 융합과학탐구, 과학과제 연구"
게임기획자,컴퓨터공학과,전문교과Ⅱ,"디지털 논리 회로, 프로그래밍, 자료구조, 사물 인터넷 서비스 기획, 로봇 지능 개발"
고객관리시스템(CRM)전문가,컴퓨터공학과,공통과목,"수학, 과학, 기술ㆍ가정"
고객관리시스템(CRM)전문가,컴퓨터공학과,일반선택과목,"수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계, 과학교과 : 물리학Ⅰ, 화학Ⅰ, 기술ㆍ가정교과 : 기술ㆍ가정, 정보"
고객관리시스템(CRM)전문가,컴퓨터공학과,진로선택과목,"실용수학, 기하, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 생활과 과학, 공학 일반"
