major,major_summary
컴퓨터공학과,"어느날 갑자기 지구상의 모든 컴퓨터가 사라진다면 모든 것이 정지될지도 모릅니다. 컴퓨터공학은 IT와 정보통신 기술을 기반으로 정보화 시대를 이끄는 첨단 공학 분야라 할 수 있습니다.  모든 산업 분야에 컴퓨터 공학 기술은 깊은 관련이 있습니다. 컴퓨터 공학은 컴퓨터 시스템, 프로그래밍 기법, 알고리즘 설계, 응용소프트웨어 개발, 정보화사업 관리방법론 등 다양한 이론과 실습을 통해 유능한 인재를 키우는데 목표를 두고 있는 학과입니다. "
컴퓨터과학과,"손 안 에서 거의 모든 것을 할 수 있는 스마트폰도 하나의 작은 컴퓨터라 할 수 있습니다. 컴퓨터과학은 인터넷 기술 발전 및 정보통신 기술 발전에 따라 사회 전체가 정보화를 기반으로 변화하는 것이 가속됨에 따라 컴퓨터 관련 산업의 핵심적인 학문 분야라 할 수 있습니다. 컴퓨터 과학은 컴퓨터, 정보기술, 정보화 사업, 정보기술 교육인증, 개발방법론 연구 등 컴퓨터와 관련된 학문적 이론과 기술을 모두 갖춘 인재를 양성하는데 교육 목표를 두고 있습니다.  "
컴퓨터디자인학과,"정보기술의 급속한 변화에 따라 각종 미디어와 정보통신 환경을 정확히 이해하는 것은 매우 중요합니다. 컴퓨터디자인학과는 컴퓨터, 그래픽, 프로그래밍, 디자인 등 여러 가지 컴퓨터 분야에 대한 기본적인 이론과 기술을 습득하고, 이를 바탕으로 디자인을 전문적으로 학습합니다. 컴퓨터디자인학과는 기초 디자인 학습을 기반으로 인터넷, 멀티미디어, 애니메이션 등의 컴퓨터 디자인 분야에서 창의력을 발휘할 인재 양성에 교육목표를 두고 있습니다."
컴퓨터소프트웨어과,"현대사회는 컴퓨터의 발달로 소프트웨어를 설계, 개발, 관리, 운영할 수 있는 역량을 가진 인재가 더욱 필요해진 시점입니다. 이에 따라 컴퓨터소프트웨어과는 응용소프트웨어 개발에 필요한 프로그래밍 언어와 모델링에 대하여 배우고, 미디어와 새로운 디바이스의 출현에 대응할 수 있는 인터페이스 구현, AI 및 빅데이터의 산업에 기반이 되는 데이터 입출력에 대하여 학습합니다. 이외에도 서버 프로그래밍, 소프트웨어공학과 응용소프트웨어 활용 등의 기술을 습득하여 4차 산업혁명시대를 주도하는 전문인 양성에 교육목표를 두고 있습니다."
컴퓨터응용기계과,"현대에 이르러 다양한 분야에서 컴퓨터가 활용되고 있지요? 컴퓨터응용기계과는 CAD/CAM 시스템을 이용하여 기계를 설계 및 제작하고, CNC공작기계와 범용기계를 이용하여 기계부품을 가공하여 기계를 제작할 수 있도록 실무능력을 습득합니다. 기계공학의 전반적인 지식을 바탕으로 도면 해독 능력 배양, 창의적 설계를 위한 사고력 및 응용력 배양, CAD 설계 능력 배양 등으로 현장 적응력을 갖춘 전문 인재를 양성하는 것에 교육 목표를 두고 있습니다."
성악과,"모든 악기가 궁극적으로 지향하는 소리는 바로 인간의 목소리라는 말이 있을 만큼 인간의 목소리는 가장 아름다운 음색을 지니고 있습니다. 성악은 인간의 목소리를 악기 삼아 인간의 감정, 사상, 영혼 등을 음악으로 표현하는 예술입니다.
성악학과는 성악예술에 대한 탐구와 기량을 연마합니다. 그리고 이를 통해 성악학과는 국내외 성악계에 활약하여 성악계에 공헌할 수 있는 인재를 양성합니다."
실용음악과,"실용음악이란 일반 대중을 즐겁게 하기 위하여 만들어진 음악입니다. 실용음악과는 보컬, 컴퓨터음악작곡, 건반, 기타, 베이스, 드럼으로 세부전공이 나뉘며, 실기 교육을 통하여 연주자로서의 실력향상과 연주의 전 과정에 대한 능력을 고루 갖춘 음악인을 양성합니다. 음악 기초이론을 바탕으로 전문연주자, 작ㆍ편곡가, 음악콘텐츠제작기획자로서의 전공 실무 능력에 대하여 배웁니다. "
실용음악학과,"실용음악은 20세기에 형성된 가장 중요한 예술행위의 한 부분으로 비단 음악에 국한되지 않고 총체적인 미디어 사회를 선도하는 멀티미디어의 총아로 부각되고 있습니다. 현재 전 세계적인 실용음악의 추세는 재즈의 이론적 기반을 중심으로 한 재즈와 상업음악이 주류를 이루고 있으며, 이에 첨단 기술이 결합된 진보적 음악의 한 부류로 인정되고 있습니다.
실용음악학과는 탄탄한 음악기초이론 습득과 장르별 전공심화교육의 강화로 현대 대중문화의 고급화를 선도하는 전문 공연예술음악인 양성을 교육목표로 두고 있습니다."
음악과,"어떠한 음악을 듣느냐에 따라 신나기도 하고 슬프기도 하죠? 음악은 목소리나 악기를 통하여 감정을 나타내는 예술이기 때문입니다. 음악과는 전통 서양음악 실기에 그 중점을 두고 음악 실기에 필요한 기초, 전문 분야의 이론 및 실기를 습득함으로써 창의적인 예술 표현과 생활의 아름다움을 추구합니다. 음악과의 전공은 성악, 악기(관현악, 피아노), 작곡으로 세분화되어 있으며 각 전공에 맞는 수업이 진행됩니다. 또한 음악과는 급변하는 사회에서 음악을 통해 국민 정서를 아름답게 순화시키고 밝은 사회 건설의 일익을 담당하는 연주 실기 능력을 갖춘 전문 음악가와 음악 지도자 양성에 교육목표를 두고 있습니다."
음악학과,"우리는 음악과 친숙합니다. 음악회나 콘서트부터 시작해서 영화나 드라마의 배경 음악까지 음악은 삶 곳곳에 스며있기 때문입니다.

음악학과에서는 음악 전반에 걸친 이론을 연구하고 다양한 음악적 기교를 익히게 됩니다. 이를 통해 음악의 전 분야에 대한 깊은 이해력과 전문성을 겸비한 음악인을 양성합니다."
작곡과,"곡이 없다면 천상의 악기나 천상의 목소리라 할지라도 단순한 소리 이상을 낼 수 없습니다. 작곡은 다양한 음계를 재배열하고 강약과 빠르기 등을 조절하여 한 편의 조화로운 곡을 만들어 냄으로써 인간의 내면과 영혼을 음악적으로 표현하는 예술입니다.
작곡학과는 문화 예술의 수준을 높이고 삶을 풍요롭게 해 줄 창의적인 인재를 양성합니다. 작곡학과는 이론 공부를 통해 음악의 형식과 구조를 이해합니다. 또, 다양한 악기를 위한 곡을 창작하기 위해 여러 악기에 대해서도 공부합니다."
전기공학과,"전기는 이제 우리 생활에서 잠시라도 떼어 놓을 수 없는 중요한 기술이라고 할 수 있습니다. 전기공학과는 전기를 생산하기 위해 화석 연료(석유, 석탄 등), 수력, 원자력, 지열, 풍력, 태양열, 조력 등의 에너지원에 대해 공부합니다. 전기공학과는 이론을 바탕으로 현장에서 창의적으로 기술을 활용할 수 있는 전기 분야 인재를 양성하는 데 목표를 두고 있습니다."
