,name,description,ability,related_subjects,type
0,화법과 작문,"초·중·고 공통과목 '국어'의 듣기·말하기 영역과 쓰기 영역을 심화·확장한 과목이다. 다양한 주제 및 유형의 담화와 글을 수용·생산하는 활동을 통해 일상생활과 학습 상황에서 필요한 화법과 작문 능력을 기르고, 사회적 소통 행위로서의 화법과 작문의 특성을 바탕으로 하여 바람직한 화법과 작문의 태도를 함양하는 데 목적이 있다.","비판적·창의적 역량, 자료·정보·활용 역량, 의사소통 역량, 공동체·대인 관계 역량, 문화 향유 역량, 자기 성찰·계발 역량","['문예창작 입문', ' 연극의 이해', ' 연기', ' 연극 감상과 비평', ' 시나리오', ' 영화 감상과 비평', ' 심화영어회화Ⅰ·Ⅱ 심화 영어 작문Ⅰ·Ⅱ', ' 외국어회화Ⅰ·Ⅱ', ' 외국어 독해와 작문Ⅰ·Ⅱ', ' 마케팅과 광고', ' 커뮤니케이션', ' 전자 상거래 일반', ' 아동 생활지도', ' 미디어 콘텐츠 일반', ' 문화 콘텐츠 산업 일반', ' 관광 일반', ' 통신 일반', ' 정보처리와 관리', ' 인쇄 일반', ' 출판 일반 등']",common
1,독서,2009 개정교육과정의 보통 교과 일반 과목이었던 '독서'에서 '독서'부분을 분리한 과목이다. '독서'는 초·중·고 공통 과목 '국어'의 읽기 영역을 심화 확장한 것이다. 다양한 분야의 독서 경험을 통하여 지금까지 쌓아온 독서 능력과 독서 태도를 바탕으로 하여 다양한 주제와 유형의 글을 폭넓게 읽어 삶을 풍부하게 하는 데 목적이 있다.,"비판적·창의적 역량, 자료·정보·활용 역량, 의사소통 역량, 공동체·대인 관계 역량, 문화 향유 역량, 자기 성찰·계발 역량","['과학과제 연구', ' 음악사', ' 미술사', ' 무용의 이해', ' 고전문학 감상', ' 현대문학 감상', ' 문예창작 입문', ' 연극의 이해', ' 연기', ' 연극 감상과 비평', ' 시나리오', ' 영화 감상과 비평', ' 심화영어 독해Ⅰ·Ⅱ', ' 외국어 독해와 작문Ⅰ·Ⅱ', ' 한국 사회의 이해', ' 사회과제 연구 등']",common
2,언어와 매체,"2009 개정교육과정의 보통 교과 일반 과목이었던 '독서'에서 '문법'부분을 분리하고, '매체 언어'관련 내용을 포함하여 구성한 과목이다. '언어와 매체'는 초·중·고 공통 과목 '국어'의 문법 영역과 매체 관련 내용을 심화 확장한 한 것으로, 음성 언어·문자 언어, '매체 언어'의 본질을 이해하고 탐구하며 이를 실제 의사소통에 통합적으로 활용하는 능력과 태도를 기르는 데 목적이 있다.","비판적·창의적 역량, 자료·정보·활용 역량, 의사소통 역량, 공동체･대인 관계 역량, 문화 향유 역량, 자기 성찰·계발 역량","['과학과제 연구', ' 음악사', ' 미술사', ' 무용의 이해', ' 고전문학 감상', ' 현대문학 감상', ' 문예창작 입문', ' 연극의 이해', ' 연기', ' 연극 감상과 비평', ' 시나리오', ' 영화 감상과 비평', ' 심화영어 독해Ⅰ·Ⅱ', ' 외국어 독해와 작문Ⅰ·Ⅱ', ' 한국 사회의 이해', ' 사회과제 연구 등']",common
3,문학,"초·중·고 공통 과목 '국어'의 문학 영역을 심화·확장한 과목으로, 다양한 문학 경험과 활동을 통해 작품을 수용·생산하는 능력을 기르고 문학에 관한 소양과 태도를 함양하여 문학문화를 향유하고 발전시키는 데 목적이 있다.","비판적·창의적 역량, 자료·정보·활용 역량, 의사소통 역량, 공동체·대인 관계 역량, 문화 향유 역량, 자기 성찰·계발 역량","['문예창작 입문', ' 문학 개론', ' 문학과 매체', ' 연극의 이해', ' 고전문학 감상', ' 현대문학 감상', ' 시 창작', ' 소설 창작', ' 극 창작', ' 연극의 이해', ' 영화의 이해', ' 시나리오', ' 영상 제작의 이해', ' 비교 문화', ' 연극 감상과 비평', ' 영화 감상과 비평', ' 미디어 콘텐츠 일반', ' 문화 콘텐츠 산업 일반', ' 출판 일반 등']",common
4,실용 국어,초·중·고 공통 과목 '국어'에서 학습한 결과를 바탕으로 하여 주로 취업을 목적으로 하는 학습자의 직무 능력을 향상시키기 위한 과목이다. 직업 분야에서 직무를 수행하는 데 필요한 실용적 국어사용 능력과 다양한 직무상황에서 효과적으로 의사소통하는 태도를 기르는데 목적이 있다.,"비판적·창의적 역량, 자료·정보·활용 역량, 의사소통 역량, 공동체·대인 관계 역량, 문화 향유 역량, 자기 성찰·계발 역량","['문예창작 입문', ' 문학 개론', ' 문학과 매체', ' 연극의 이해', ' 고전문학 감상', ' 현대문학 감상', ' 시 창작', ' 소설 창작', ' 극 창작', ' 연극의 이해', ' 영화의 이해', ' 시나리오', ' 영상 제작의 이해', ' 연극 감상과 비평', ' 비교 문화', ' 영화 감상과 비평', ' 마케팅과 광고', ' 미디어 콘텐츠 일반', ' 문화 콘텐츠 산업 일반 등']",common
5,심화 국어,"초·중·고 공통 과목 '국어'에서 학습한 결과를 바탕으로 하여 학습자의 학문 탐구 능력을 향상시키기 위한 진로 선택 과목이다. 상급 학교 진학을 목적으로 하는 학습자를 대상으로 하여, 학습자가 수준 높은 국어생활을 영위하는 동시에 학습자가 선택한 학문(전공) 영역에서 원활하게 학업을 수행할 수 있도록 학습과 연구를 위한 고급 수준의 국어 능력을 향상시키는 데 목적이 있다.","비판적·창의적 역량, 자료·정보·활용 역량, 의사소통 역량, 공동체·대인 관계 역량, 문화 향유 역량, 자기 성찰·계발 역량","['문예 창작 입문', ' 문학 개론', ' 문장론', ' 고전문학 감상', ' 현대문학 감상', ' 시 창작', ' 소설 창작', ' 극 창작', ' 연극 감상과 비평', ' 시나리오', ' 영화 감상과 비평', ' 한국 사회의 이해', ' 마케팅과 광고', ' 커뮤니케이션', ' 미디어 콘텐츠 일반', ' 문화 콘텐츠 산업 일반 등']",common
6,고전 읽기,"초·중·고 공통 과목 '국어'에서 학습한 결과를 토대로 다양한 고전을 읽으며 통합적인 국어 능력과 교양을 향상시키기 위한 진로선택과목이다. 인문·예술, 사회·문화, 과학·기술, 문학 등의 분야의 다양한 고전을 제재로 하여 비판적·창의적 사고력을 신장하고 학문 활동이나 직업 활동을 하는 데 필요한 전문성과 문제 해결 능력을 신장시키는 데 목적이 있다. 2009 개정교육과정의 '고전'을 계승한 것으로 교과서가 제작되지 않는 과목이다. 이에 고전 작품의 선정 및 학습 활동의 구성 등에 있어 학습자 수준과 학교 여건에 맞게 다양한 수업 활동이 가능하다.","비판적·창의적 역량, 자료·정보·활용 역량, 의사소통 역량, 공동체·대인 관계 역량, 문화 향유 역량, 자기 성찰·계발 역량","['과학과제 연구', ' 음악사', ' 미술사', ' 무용의 이해 고전문학 감상', ' 현대문학 감상', ' 문예창작 입문', ' 연극의 이해', ' 연기', ' 연극 감상과 비평', ' 시나리오', ' 영화 감상과 비평', ' 심화영어 독해Ⅰ·Ⅱ', ' 외국어 독해와 작문Ⅰ·Ⅱ', ' 한국 사회의 이해', ' 사회과제 연구 등']",common
7,수학Ⅰ,"<수학Ⅰ>은 공통 과목인 <수학>을 학습한 후, 더 높은 수준의 수학을 학습하기를 원하는 학생들이 선택할 수 있는 과목이다. <수학Ⅰ>의 내용은 '지수함수와 로그함수', '삼각함수', '수열'의 3개 핵심 개념 영역으로 구성된다. <수학Ⅰ>에서 학습한 수학의 지식과 기능은 자신의 진로와 적성을 고려하여 선택할 수 있는 수학 일반 선택 과목과 진로 선택 과목, 수학 전문 교과 과목을 학습하기 위한 토대가 되고, 자연과학, 공학, 의학 뿐만 아니라 경제·경영학을 포함한 사회과학, 인문학, 예술 및 체육 분야를 학습하는 데 기초가 되며, 나아가 창의적 역량을 갖춘 융합 인재로 성장할 수 있는 기반을 제공한다.","문제 해결, 추론, 창의·융합, 의사소통, 정보처리, 태도 및 실천","['수학Ⅰ ', ' 수학Ⅱ ', ' 확률과 통계 ', ' 미적분 → 기하', ' 수학과제 탐구']",common
8,수학Ⅱ,"<수학Ⅱ>은 공통 과목인 <수학>을 학습한 후, 더 높은 수준의 수학을 학습하기를 원하는 학생들이 선택할 수 있는 과목이다. <수학Ⅱ>의 내용은 '함수의 극한과 연속', '미분', '적분'의 3개 핵심 개념 영역으로 구성된다. <수학Ⅱ>에서 학습한 수학의 지식과 기능은 자신의 진로와 적성을 고려하여 선택할 수 있는 수학 일반 선택 과목과 진로 선택 과목, 수학 전문 교과 과목을 학습하기 위한 토대가 되고, 자연과학, 공학, 의학 뿐만 아니라 경제·경영학을 포함한 사회과학, 인문학, 예술 및 체육 분야를 학습하는 데 기초가 되며, 나아가 창의적 역량을 갖춘 융합 인재로 성장할 수 있는 기반을 제공한다.","문제 해결, 추론, 창의·융합, 의사소통, 정보처리, 태도 및 실천","['수학Ⅱ ', ' 확률과 통계 ', ' 미적분 → 기하', ' 수학과제 탐구수학Ⅱ ', ' 확률과 통계 → 경제수학']",common
9,미적분,"<미적분>은 <수학Ⅰ>과 <수학Ⅱ>를 학습한 후, 더 높은 수준의 수학을 학습하기를 원하는 학생들이 선택할 수 있는 과목이다. <미적분>의 내용은 '수열의 극한', '미분법', '적분법'의 3개 핵심 개념 영역으로 구성된다. <미적분>에서 학습한 수학의 지식과 기능은 자신의 진로와 적성을 고려하여 선택할 수 있는 수학 일반 선택 과목과 진로 선택 과목, 수학 전문 교과 과목을 학습하기 위한 토대가 되고, 자연과학, 공학, 의학 뿐만 아니라 경제·경영학을 포함한 사회과학 분야를 학습하는 데 기초가 되며, 나아가 창의적 역량을 갖춘 융합 인재로 성장할 수 있는 기반을 제공한다.","문제 해결, 추론, 창의·융합, 의사소통, 정보처리, 태도 및 실천","['확률과 통계', ' 미적분 → 기하', ' 수학과제 탐구미적분 ', ' 확률과 통계 → 경제수학', ' 수학과제 탐구']",common
